
"{'val_loss': 0.11994332269748129, 'val_acc': 0.9641062455132807, 'loss': 0.06385002929265372, 'acc': 0.97917694, 'val_aupr': 0.9891031089653524, 'val_auc': 0.9921316106879007, 'val_f1': 0.9644381223328591, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 7}"
"{'val_loss': 0.12874950774241609, 'val_acc': 0.9618329743957885, 'loss': 0.05489513464005526, 'acc': 0.982193, 'val_aupr': 0.9887287122200987, 'val_auc': 0.9915179568242198, 'val_f1': 0.9620132576509348, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 8}"
"{'val_loss': 0.12425670992231515, 'val_acc': 0.9641461274627103, 'loss': 0.04758884902662706, 'acc': 0.9848002, 'val_aupr': 0.9885212207449894, 'val_auc': 0.992017231756274, 'val_f1': 0.9645406855204514, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 9}"
"{'val_loss': 0.1254771542241768, 'val_acc': 0.9648640025524448, 'loss': 0.04233191166959023, 'acc': 0.98657495, 'val_aupr': 0.9887988254255842, 'val_auc': 0.9918442493292108, 'val_f1': 0.9652889957054489, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 10}"
"{'val_loss': 0.1270909811702653, 'val_acc': 0.9636276621201244, 'loss': 0.03675637773924491, 'acc': 0.9887435, 'val_aupr': 0.9891720875942417, 'val_auc': 0.991960393809636, 'val_f1': 0.9640066303575657, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 11}"
"{'val_loss': 0.12861386995117488, 'val_acc': 0.9636675440695541, 'loss': 0.03384754337744977, 'acc': 0.9894514, 'val_aupr': 0.9890716056907455, 'val_auc': 0.9919576643666285, 'val_f1': 0.9639821294429288, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 12}"
"{'val_loss': 0.2696441146801027, 'val_acc': 0.8909627502592327, 'loss': 0.454137830788154, 'acc': 0.77750194, 'val_aupr': 0.95189772377012, 'val_auc': 0.9586746357982872, 'val_f1': 0.8904647435897436, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 1}"
"{'val_loss': 0.1773121616632029, 'val_acc': 0.9362287628619287, 'loss': 0.20656008378011836, 'acc': 0.9209751, 'val_aupr': 0.9775959671057387, 'val_auc': 0.9817422558478258, 'val_f1': 0.9372424349464265, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 2}"
"{'val_loss': 0.14400901141882305, 'val_acc': 0.9495892159208742, 'loss': 0.1372291058896947, 'acc': 0.9515541, 'val_aupr': 0.9828442557486273, 'val_auc': 0.9871644887536489, 'val_f1': 0.9498014297061159, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 3}"
"{'val_loss': 0.13023808143650828, 'val_acc': 0.9575257238573821, 'loss': 0.10230336129255323, 'acc': 0.96537304, 'val_aupr': 0.9855178907418477, 'val_auc': 0.9900933586525517, 'val_f1': 0.9578468236691074, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 4}"
"{'val_loss': 0.13378902793387015, 'val_acc': 0.959200765733429, 'loss': 0.08383781208467464, 'acc': 0.97232735, 'val_aupr': 0.9867221809621773, 'val_auc': 0.9904103801338109, 'val_f1': 0.9595027908633862, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 5}"
"{'val_loss': 0.1281867025951511, 'val_acc': 0.9605966339634682, 'loss': 0.07057976997697361, 'acc': 0.9764451, 'val_aupr': 0.9876811693521821, 'val_auc': 0.9910727194967046, 'val_f1': 0.9607562758182395, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 6}"
"{'val_loss': 0.12453808340647293, 'val_acc': 0.9632687245752573, 'loss': 0.0625539492982038, 'acc': 0.9794262, 'val_aupr': 0.9880303705249694, 'val_auc': 0.9914844917688779, 'val_f1': 0.963416087388282, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 7}"
"{'val_loss': 0.12697568169842594, 'val_acc': 0.9613543910026322, 'loss': 0.05260883529024189, 'acc': 0.98297065, 'val_aupr': 0.9884853013857858, 'val_auc': 0.9915267598151719, 'val_f1': 0.9614910781703295, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 8}"
"{'val_loss': 0.12359266509643305, 'val_acc': 0.963428252372976, 'loss': 0.04522848283588008, 'acc': 0.9854433, 'val_aupr': 0.9888892165364774, 'val_auc': 0.9920230872668814, 'val_f1': 0.9635547076825245, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 9}"
"{'val_loss': 0.12290947862629724, 'val_acc': 0.9651830581478823, 'loss': 0.039339829272111417, 'acc': 0.9876318, 'val_aupr': 0.988321829218871, 'val_auc': 0.9919225085945187, 'val_f1': 0.9653337568994959, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 10}"
"{'val_loss': 0.12231393371190695, 'val_acc': 0.9641062455132807, 'loss': 0.03459686746936831, 'acc': 0.98936164, 'val_aupr': 0.9891657585438065, 'val_auc': 0.9923090320156768, 'val_f1': 0.9642828795936186, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 11}"
"{'val_loss': 0.12969672874708518, 'val_acc': 0.9642258913615698, 'loss': 0.030294102346736077, 'acc': 0.99094194, 'val_aupr': 0.9890305964503665, 'val_auc': 0.9917945942314956, 'val_f1': 0.9644343999048413, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 12}"
"{'val_loss': 0.12424262369816275, 'val_acc': 0.9665390444284917, 'loss': 0.02740464656801313, 'acc': 0.99191403, 'val_aupr': 0.9894552338475175, 'val_auc': 0.9922940328557251, 'val_f1': 0.966781486320624, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 13}"
"{'val_loss': 0.13310538958070228, 'val_acc': 0.9636675440695541, 'loss': 0.02524405459618094, 'acc': 0.99289614, 'val_aupr': 0.9890231183188163, 'val_auc': 0.9917032122868995, 'val_f1': 0.9638907606326053, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 14}"
"{'val_loss': 0.1339875661491007, 'val_acc': 0.9633883704235463, 'loss': 0.022456156745140364, 'acc': 0.9939281, 'val_aupr': 0.9892496200086518, 'val_auc': 0.9918763563543113, 'val_f1': 0.9635945431472082, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 15}"
"{'val_loss': 0.12875233053010532, 'val_acc': 0.9629895509292494, 'loss': 0.020661889909893805, 'acc': 0.99471074, 'val_aupr': 0.9893560077859044, 'val_auc': 0.9921674068616902, 'val_f1': 0.9632417016557079, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 3, 'epoch_count': 16}"
"{'val_loss': 0.26890606789428423, 'val_acc': 0.8938741325676, 'loss': 0.45685268613849944, 'acc': 0.7749944, 'val_aupr': 0.9493225113945782, 'val_auc': 0.9577168457811054, 'val_f1': 0.8955528515916317, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 1}"
"{'val_loss': 0.1756967000269268, 'val_acc': 0.9367472282045146, 'loss': 0.21458563616723042, 'acc': 0.9188365, 'val_aupr': 0.9765200582088712, 'val_auc': 0.9812829708888948, 'val_f1': 0.9373914416548239, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 2}"
"{'val_loss': 0.15372457043200558, 'val_acc': 0.9468772433596554, 'loss': 0.14607980748738192, 'acc': 0.9473865, 'val_aupr': 0.9831944083260307, 'val_auc': 0.9862587882208296, 'val_f1': 0.9471554391811473, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 3}"
"{'val_loss': 0.1396077732081104, 'val_acc': 0.957286432160804, 'loss': 0.11059188529317544, 'acc': 0.9618236, 'val_aupr': 0.9853921353249433, 'val_auc': 0.9887602454287032, 'val_f1': 0.9576026285578558, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 4}"
"{'val_loss': 0.13629004931662883, 'val_acc': 0.9570870224136556, 'loss': 0.09138504659516103, 'acc': 0.9693811, 'val_aupr': 0.9871388001018694, 'val_auc': 0.9897939492320005, 'val_f1': 0.9573015873015873, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 5}"
"{'val_loss': 0.1280869259483042, 'val_acc': 0.9605966339634682, 'loss': 0.07659761185634945, 'acc': 0.9746554, 'val_aupr': 0.9881138188608369, 'val_auc': 0.9909494881154729, 'val_f1': 0.960812311597652, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 6}"
"{'val_loss': 0.12914786081622356, 'val_acc': 0.9619925021935072, 'loss': 0.06151241679443296, 'acc': 0.9799397, 'val_aupr': 0.98788057368475, 'val_auc': 0.9910845631654559, 'val_f1': 0.9620847423910882, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 7}"
"{'val_loss': 0.12617851693688031, 'val_acc': 0.9631889606763978, 'loss': 0.052330255972424335, 'acc': 0.98288095, 'val_aupr': 0.9886743521536837, 'val_auc': 0.9915342608713689, 'val_f1': 0.963339555943917, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 8}"
"{'val_loss': 0.12839800832901427, 'val_acc': 0.9624710855866635, 'loss': 0.04580850309117707, 'acc': 0.9849847, 'val_aupr': 0.9892479172371793, 'val_auc': 0.9917540087412433, 'val_f1': 0.9626809438826095, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 9}"
"{'val_loss': 0.1278333119311724, 'val_acc': 0.9637473079684135, 'loss': 0.0402409834070169, 'acc': 0.9872978, 'val_aupr': 0.9888754057252307, 'val_auc': 0.9917406256194305, 'val_f1': 0.963909953547465, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 10}"
"{'val_loss': 0.1298838944548082, 'val_acc': 0.9635877801706948, 'loss': 0.03430562742739183, 'acc': 0.9893766, 'val_aupr': 0.9892202235848255, 'val_auc': 0.9917170182633647, 'val_f1': 0.9637165679767914, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 11}"
"{'val_loss': 0.13330605111215696, 'val_acc': 0.9629895509292494, 'loss': 0.031449680185285454, 'acc': 0.99036866, 'val_aupr': 0.9884860414804699, 'val_auc': 0.9914156228526204, 'val_f1': 0.9631833690391177, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 12}"
"{'val_loss': 0.1325321541340659, 'val_acc': 0.9642258913615698, 'loss': 0.02729450319495422, 'acc': 0.99185425, 'val_aupr': 0.9884557867233817, 'val_auc': 0.9914688531300838, 'val_f1': 0.964369414101291, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 4, 'epoch_count': 13}"
