0	7388	0
0	6887	0
0	2144	0
0	6984	0
0	8690	0
0	8987	1
0	5034	2
0	4944	3
0	5124	4
0	5124	4
1	8479	0
1	4341	0
1	4982	0
1	4014	0
1	2822	0
1	3111	0
1	4341	0
1	4982	0
1	4014	0
1	2822	0
1	5777	3
1	7078	4
1	7078	4
2	6182	0
2	4341	0
2	4982	0
2	4014	0
2	2822	0
2	8205	3
2	5777	3
2	1630	4
2	7078	4
2	1630	4
2	7078	4
3	6752	0
3	4735	0
3	2164	0
3	9063	0
3	3847	0
3	4392	2
3	6154	2
3	9017	3
3	1991	3
3	7443	3
3	3546	4
3	3082	4
3	4631	4
3	3546	4
3	3082	4
3	4631	4
4	9017	3
4	1991	3
4	7443	3
4	4391	3
4	3546	4
4	3082	4
4	4631	4
4	2159	4
4	3546	4
4	3082	4
4	4631	4
4	2159	4
5	2446	0
5	3579	0
5	4838	0
5	5754	0
5	3943	0
6	4194	0
6	5636	0
6	3731	0
6	9063	0
6	3847	0
6	5034	2
6	7299	2
7	4144	0
7	4854	0
7	4410	0
7	2424	0
7	8690	0
7	6271	0
7	6602	0
7	4148	0
7	2424	0
7	8690	0
7	7790	0
7	4854	0
7	4410	0
7	2424	0
7	8690	0
7	7346	2
7	6213	2
7	1922	2
7	6785	3
7	1670	3
7	8243	3
7	1615	3
7	7840	3
7	4387	3
7	5296	4
7	6405	4
7	6218	4
7	3769	4
7	8131	4
7	4517	4
7	5296	4
7	6405	4
7	6218	4
7	3769	4
7	8131	4
7	4517	4
8	3678	1
8	8771	1
8	3011	1
8	3179	1
8	7462	1
8	5667	1
8	9003	1
8	3090	1
8	8109	1
8	3295	1
8	7376	1
8	1928	1
8	8801	1
8	6061	1
8	3953	1
8	6509	1
8	7685	1
8	5141	1
8	5138	1
8	1750	1
8	5901	1
8	2847	1
8	3570	1
8	5758	1
8	7892	1
8	8485	1
8	4326	1
8	5002	1
8	2568	1
8	8505	1
8	4415	3
8	5480	3
8	9085	3
8	4280	3
8	6785	3
8	8577	3
8	7848	3
8	6043	3
8	7859	3
8	4387	3
8	7593	3
8	7063	3
8	8784	4
8	6214	4
8	9151	4
8	2222	4
8	5296	4
8	4862	4
8	9072	4
8	7798	4
8	5377	4
8	4517	4
8	2286	4
8	2239	4
8	8784	4
8	6214	4
8	9151	4
8	2222	4
8	5296	4
8	4862	4
8	9072	4
8	7798	4
8	5377	4
8	4517	4
8	2286	4
8	2239	4
